Fecha y Hora,Fecha,Hora,Integrante,Mensaje,Tipo de Mensaje,Cantidad Emojis
1/2/22 0:02:54,1/02/2022,0:02:54,Pali,JAJAJAJA que falopera es esa mina,texto,
1/2/22 0:02:58,1/02/2022,0:02:58,Pali,me encanta,texto,
1/2/22 0:03:04,1/02/2022,0:03:04,Pali,🤩🤩🤩,texto,
1/2/22 12:03:50,1/02/2022,12:03:50,Delfi,ALGUNA,texto,
1/2/22 12:04:02,1/02/2022,12:04:02,Delfi,quiere ir a tecno moon open air (es en pilar y de día),texto,
1/2/22 12:04:06,1/02/2022,12:04:06,Delfi,2300 la entrada,texto,
1/2/22 12:04:29,1/02/2022,12:04:29,Delfi,conmigo y con mi prima maYa,texto,
1/2/22 12:04:46,1/02/2022,12:04:46,Delfi,osea no sacamos todavía pero si reclutamo,texto,
1/2/22 12:05:02,1/02/2022,12:05:02,Delfi,de 2pm a 11pm,texto,
1/2/22 12:05:45,1/02/2022,12:05:45,Michu,ojalaa :(,texto,
1/2/22 12:05:47,1/02/2022,12:05:47,Michu,no more money,texto,
1/2/22 12:06:03,1/02/2022,12:06:03,Sol,Cuando?,texto,
1/2/22 12:12:16,1/02/2022,12:12:16,Delfi,sabado,texto,
1/2/22 12:15:13,1/02/2022,12:15:13,Sol,Uu voy a estar re estudiando🥺,texto,
1/2/22 12:22:24,1/02/2022,12:22:24,Michu,same igual,texto,
1/2/22 12:22:24,1/02/2022,12:22:24,Michu,lol,texto,
1/2/22 12:25:47,1/02/2022,12:25:47,Pali,cuando rendiiiiis????,texto,
1/2/22 12:26:19,1/02/2022,12:26:19,Pali,yo justo no soy tan fan del techno,texto,
1/2/22 12:26:22,1/02/2022,12:26:22,Pali,adjunto= 00002521-STICKER-2022-02-01-12-26-22.webp,sticker,
1/2/22 12:26:40,1/02/2022,12:26:40,Pali,pero hay joda en MANDARÍN,texto,
1/2/22 12:26:47,1/02/2022,12:26:47,Pali,a la noche,texto,
1/2/22 12:26:51,1/02/2022,12:26:51,Pali,y va un dj,texto,
1/2/22 12:26:52,1/02/2022,12:26:52,Sol,Mañana y el 8,texto,
1/2/22 12:26:54,1/02/2022,12:26:54,Sol,adjunto= 00002526-STICKER-2022-02-01-12-26-54.webp,sticker,
1/2/22 12:27:32,1/02/2022,12:27:32,Pali,que vi que tocaba como una mezcla de reggaetón y techno y dije PERDONA? CLICK,texto,
1/2/22 12:27:41,1/02/2022,12:27:41,Pali,uuuuuuuuuuu amichiiiiii,texto,
1/2/22 12:27:50,1/02/2022,12:27:50,Pali,suerte🥳🥳🥳🥳🥳🥳🥳👌🥰🥰🥰🍆🍆🍆🍆🍆🍆🍆🍆,texto,
1/2/22 12:30:13,1/02/2022,12:30:13,Sol,Graciaassss❤️,texto,
1/2/22 12:40:51,1/02/2022,12:40:51,Delfi,hoy?,texto,
1/2/22 12:40:57,1/02/2022,12:40:57,Delfi,RXITOOOSSSSS,texto,
1/2/22 12:40:59,1/02/2022,12:40:59,Delfi,DIGO,texto,
1/2/22 12:41:04,1/02/2022,12:41:04,Delfi,EXITOSSS AJAJ,texto,
1/2/22 12:44:32,1/02/2022,12:44:32,Pali,el sabadoooo,texto,
1/2/22 12:44:38,1/02/2022,12:44:38,Pali,adjunto= 00002536-STICKER-2022-02-01-12-44-38.webp,sticker,
1/2/22 14:50:43,1/02/2022,14:50:43,Pau,adjunto= 00002537-PHOTO-2022-02-01-14-50-42.jpg,photo,
1/2/22 14:51:14,1/02/2022,14:51:14,Taty,JAJAJJA EL NOMBRE,texto,
1/2/22 15:36:42,1/02/2022,15:36:42,Sofi,adjunto= 00002539-PHOTO-2022-02-01-15-36-42.jpg,photo,
1/2/22 15:39:44,1/02/2022,15:39:44,Sofi,tenemos el gta ya,texto,
1/2/22 16:07:45,1/02/2022,16:07:45,Delfi,osss,texto,
1/2/22 16:07:48,1/02/2022,16:07:48,Delfi,lo pagaste?,texto,
1/2/22 16:10:11,1/02/2022,16:10:11,Delfi,adjunto= 00002543-AUDIO-2022-02-01-16-10-11.opus,audio,
1/2/22 16:10:55,1/02/2022,16:10:55,Michu,JAJAJAJAJAJAJAJAJJA,texto,
1/2/22 16:10:57,1/02/2022,16:10:57,Michu,Muy random,texto,
1/2/22 16:10:57,1/02/2022,16:10:57,Michu,Same,texto,
1/2/22 16:11:09,1/02/2022,16:11:09,Delfi,adjunto= 00002547-AUDIO-2022-02-01-16-11-09.opus,audio,
1/2/22 16:36:54,1/02/2022,16:36:54,Sofi,siii,texto,
1/2/22 16:36:54,1/02/2022,16:36:54,Sofi,700 pesis,texto,
1/2/22 16:36:54,1/02/2022,16:36:54,Sofi,pesos,texto,
1/2/22 16:36:55,1/02/2022,16:36:55,Sofi,JAJAJAJA,texto,
1/2/22 16:36:55,1/02/2022,16:36:55,Sofi,SI RE INCOMODO,texto,
1/2/22 16:36:58,1/02/2022,16:36:58,Sofi,como que no te tienta nada,texto,
1/2/22 16:37:04,1/02/2022,16:37:04,Sofi,y estas ahi,texto,
1/2/22 16:37:06,1/02/2022,16:37:06,Sofi,😜🤡,texto,
1/2/22 16:37:10,1/02/2022,16:37:10,Sofi,🏐💭,texto,
1/2/22 16:43:47,1/02/2022,16:43:47,Sofi,viene taty post gym a casa hoy,texto,
1/2/22 16:43:51,1/02/2022,16:43:51,Sofi,quien quiereeeee venirrrr,texto,
1/2/22 16:44:06,1/02/2022,16:44:06,Sofi,no me puedo acostar tan tarde ugual xq mañana TRABAJO 🚁🤡,texto,
1/2/22 17:01:38,1/02/2022,17:01:38,Delfi,YOO,texto,
1/2/22 17:01:47,1/02/2022,17:01:47,Delfi,same igual,texto,
1/2/22 17:06:22,1/02/2022,17:06:22,Sofi,adjunto= 00002562-PHOTO-2022-02-01-17-06-22.jpg,photo,
1/2/22 17:07:40,1/02/2022,17:07:40,Delfi,a q hora?,texto,
1/2/22 17:11:03,1/02/2022,17:11:03,Sofi,yo tengo q ir a lo de mi abuela a hacer algo,texto,
1/2/22 17:11:04,1/02/2022,17:11:04,Sofi,ahora,texto,
1/2/22 17:11:07,1/02/2022,17:11:07,Sofi,y despues vot a casa,texto,
1/2/22 17:11:09,1/02/2022,17:11:09,Sofi,voy*,texto,
1/2/22 17:40:27,1/02/2022,17:40:27,Delfi,me avisas cuando estes volviendo porfi?,texto,
1/2/22 17:56:16,1/02/2022,17:56:16,Sofi,siii,texto,
1/2/22 18:00:00,1/02/2022,18:00:00,Delfi,adjunto= 00002570-STICKER-2022-02-01-18-00-00.webp,sticker,
1/2/22 18:20:44,1/02/2022,18:20:44,Sofi,me quiero fumar 1 pucho en lo de mi abuela,texto,
1/2/22 18:20:45,1/02/2022,18:20:45,Sofi,q hago,texto,
1/2/22 18:21:01,1/02/2022,18:21:01,Delfi,dont,texto,
1/2/22 18:25:26,1/02/2022,18:25:26,Sofi,jajajajaa mala ondaaaaaa,texto,
1/2/22 18:25:28,1/02/2022,18:25:28,Sofi,daaaaaa,texto,
1/2/22 18:25:35,1/02/2022,18:25:35,Sofi,dicen que cuando lleguen ya esta el gta?,texto,
1/2/22 18:25:38,1/02/2022,18:25:38,Sofi,😳,texto,
1/2/22 18:26:00,1/02/2022,18:26:00,Pau,Yo no puedo ir porque toy aislada,texto,
1/2/22 18:26:06,1/02/2022,18:26:06,Pau,Porque marcos tiene covid,texto,
1/2/22 18:26:56,1/02/2022,18:26:56,Pau,Y a lo del sabado @5491159071986  rindo el lunes asi que no deberia salir,texto,
1/2/22 18:27:06,1/02/2022,18:27:06,Pau,Igual si doy positivo tampoco podria jajaajajap,texto,
1/2/22 18:36:24,1/02/2022,18:36:24,Sofi,adjunto= 00002582-PHOTO-2022-02-01-18-36-24.jpg,photo,
1/2/22 18:36:26,1/02/2022,18:36:26,Sofi,nooo,texto,
1/2/22 18:47:15,1/02/2022,18:47:15,Taty,🥵,texto,
1/2/22 18:56:03,1/02/2022,18:56:03,Pau,JAJAJAJ cara de muerte,texto,
1/2/22 19:36:03,1/02/2022,19:36:03,Pali,nooo,texto,
1/2/22 19:38:14,1/02/2022,19:38:14,Pau,Quien es fonziponzi,texto,
1/2/22 19:38:21,1/02/2022,19:38:21,Pau,Siento que sos vos,texto,
1/2/22 19:39:23,1/02/2022,19:39:23,Pali,queeee?,texto,
1/2/22 19:39:31,1/02/2022,19:39:31,Pau,JAJAJAJA,texto,
1/2/22 19:39:34,1/02/2022,19:39:34,Pali,en ig? tipo cuenta falsa?,texto,
1/2/22 19:39:40,1/02/2022,19:39:40,Pau,En HAYDAY,texto,
1/2/22 19:39:44,1/02/2022,19:39:44,Pali,no tengo cuenta falsa u-U,texto,
1/2/22 19:39:48,1/02/2022,19:39:48,Pali,aaaaa JAJAJAJA,texto,
1/2/22 19:39:50,1/02/2022,19:39:50,Pau,adjunto= 00002595-STICKER-2022-02-01-19-39-49.webp,sticker,
1/2/22 19:39:50,1/02/2022,19:39:50,Pali,NO TENGO ESO,texto,
1/2/22 19:40:00,1/02/2022,19:40:00,Pali,ósea tenía antes de pendeja en el ipad2 LOL,texto,
1/2/22 19:40:05,1/02/2022,19:40:05,Pali,LO EXTRAÑO,texto,
1/2/22 19:40:09,1/02/2022,19:40:09,Pali,😔😔😔😔😔,texto,
1/2/22 19:40:12,1/02/2022,19:40:12,Pau,adjunto= 00002600-STICKER-2022-02-01-19-40-11.webp,sticker,
1/2/22 19:40:23,1/02/2022,19:40:23,Pali,adjunto= 00002601-STICKER-2022-02-01-19-40-23.webp,sticker,
1/2/22 19:40:36,1/02/2022,19:40:36,Pau,EXACTO,texto,
1/2/22 19:41:33,1/02/2022,19:41:33,Delfi,estábamos re pegadas en hay dau en ese entonces,texto,
1/2/22 19:41:55,1/02/2022,19:41:55,Pali,SI,texto,
1/2/22 19:42:32,1/02/2022,19:42:32,Pali,me acuerdo que había una mina de diamante una banda de cosas,texto,
1/2/22 19:42:32,1/02/2022,19:42:32,Pali,se iba a la mierda la granja,texto,
1/2/22 20:23:52,1/02/2022,20:23:52,Sofi,bebas,texto,
1/2/22 20:23:59,1/02/2022,20:23:59,Sofi,en 20 estoy en casa,texto,
1/2/22 20:27:10,1/02/2022,20:27:10,Sofi,vayan viniendo si quieeren,texto,
1/2/22 20:27:14,1/02/2022,20:27:14,Sofi,@5491159071986 comes aca,texto,
1/2/22 20:27:16,1/02/2022,20:27:16,Sofi,?,texto,
1/2/22 21:21:26,1/02/2022,21:21:26,Sofi,xhe vienen al final?,texto,
1/2/22 21:24:34,1/02/2022,21:24:34,Taty,Siii,texto,
1/2/22 21:24:42,1/02/2022,21:24:42,Taty,Voy tipo 10,texto,
1/2/22 21:24:46,1/02/2022,21:24:46,Taty,Me estoy entrando a bañar,texto,
1/2/22 21:26:01,1/02/2022,21:26:01,Sol,Yo no puedo rindo mañanaa,texto,
1/2/22 21:32:28,1/02/2022,21:32:28,Sofi,suerte!!,texto,
1/2/22 21:39:16,1/02/2022,21:39:16,Taty,Exitossssss la vas a romper,texto,
1/2/22 21:40:52,1/02/2022,21:40:52,Sol,Graciassss🥰,texto,
2/2/22 0:15:25,2/02/2022,0:15:25,Michu,ALFUNA SE ACUERDA,texto,
2/2/22 0:15:27,2/02/2022,0:15:27,Michu,De la convivencia,texto,
