"","Fecha y Hora","Fecha","Hora","Integrante","Mensaje","Tipo de Mensaje","Cantidad Emojis"
"1","1/2/22 0:02:54","1/02/2022",00:02:54,"Pali","JAJAJAJA que falopera es esa mina","texto",0
"2","1/2/22 0:02:58","1/02/2022",00:02:58,"Pali","me encanta","texto",0
"3","1/2/22 0:03:04","1/02/2022",00:03:04,"Pali","🤩🤩🤩","texto",3
"4","1/2/22 12:03:50","1/02/2022",12:03:50,"Delfi","ALGUNA","texto",0
"5","1/2/22 12:04:02","1/02/2022",12:04:02,"Delfi","quiere ir a tecno moon open air (es en pilar y de día)","texto",0
"6","1/2/22 12:04:06","1/02/2022",12:04:06,"Delfi","2300 la entrada","texto",0
"7","1/2/22 12:04:29","1/02/2022",12:04:29,"Delfi","conmigo y con mi prima maYa","texto",0
"8","1/2/22 12:04:46","1/02/2022",12:04:46,"Delfi","osea no sacamos todavía pero si reclutamo","texto",0
"9","1/2/22 12:05:02","1/02/2022",12:05:02,"Delfi","de 2pm a 11pm","texto",0
"10","1/2/22 12:05:45","1/02/2022",12:05:45,"Michu","ojalaa :(","texto",0
"11","1/2/22 12:05:47","1/02/2022",12:05:47,"Michu","no more money","texto",0
"12","1/2/22 12:06:03","1/02/2022",12:06:03,"Sol","Cuando?","texto",0
"13","1/2/22 12:12:16","1/02/2022",12:12:16,"Delfi","sabado","texto",0
"14","1/2/22 12:15:13","1/02/2022",12:15:13,"Sol","Uu voy a estar re estudiando🥺","texto",1
"15","1/2/22 12:22:24","1/02/2022",12:22:24,"Michu","same igual","texto",0
"16","1/2/22 12:22:24","1/02/2022",12:22:24,"Michu","lol","texto",0
"17","1/2/22 12:25:47","1/02/2022",12:25:47,"Pali","cuando rendiiiiis????","texto",0
"18","1/2/22 12:26:19","1/02/2022",12:26:19,"Pali","yo justo no soy tan fan del techno","texto",0
"19","1/2/22 12:26:22","1/02/2022",12:26:22,"Pali","adjunto= 00002521-STICKER-2022-02-01-12-26-22.webp","sticker",0
"20","1/2/22 12:26:40","1/02/2022",12:26:40,"Pali","pero hay joda en MANDARÍN","texto",0
"21","1/2/22 12:26:47","1/02/2022",12:26:47,"Pali","a la noche","texto",0
"22","1/2/22 12:26:51","1/02/2022",12:26:51,"Pali","y va un dj","texto",0
"23","1/2/22 12:26:52","1/02/2022",12:26:52,"Sol","Mañana y el 8","texto",0
"24","1/2/22 12:26:54","1/02/2022",12:26:54,"Sol","adjunto= 00002526-STICKER-2022-02-01-12-26-54.webp","sticker",0
"25","1/2/22 12:27:32","1/02/2022",12:27:32,"Pali","que vi que tocaba como una mezcla de reggaetón y techno y dije PERDONA? CLICK","texto",0
"26","1/2/22 12:27:41","1/02/2022",12:27:41,"Pali","uuuuuuuuuuu amichiiiiii","texto",0
"27","1/2/22 12:27:50","1/02/2022",12:27:50,"Pali","suerte🥳🥳🥳🥳🥳🥳🥳👌🥰🥰🥰🍆🍆🍆🍆🍆🍆🍆🍆","texto",19
"28","1/2/22 12:30:13","1/02/2022",12:30:13,"Sol","Graciaassss❤️","texto",1
